Date;BND;GLD;SPY;TLT;VCR;VTV;XLK;XLV
2018-02-01;80.16000366210938;128.07000732421875;281.5799865722656;120.69999694824219;167.35000610351562;111.47000122070312;68.51000213623047;88.12999725341797
2018-02-02;79.91999816894531;126.38999938964844;275.45001220703125;119.58000183105469;165.6199951171875;108.94999694824219;66.4800033569336;86.88999938964844
2018-02-05;80.2699966430664;126.70999908447266;263.92999267578125;120.70999908447266;160.02999877929688;104.30000305175781;63.70000076293945;83.04000091552734
2018-02-06;80.01000213623047;125.37999725341797;269.1300048828125;119.95999908447266;163.63999938964844;105.94999694824219;65.52999877929688;83.95999908447266
2018-02-07;79.83000183105469;124.79000091552734;267.6700134277344;118.81999969482422;163.55999755859375;105.69000244140625;64.69000244140625;83.86000061035156
2018-02-08;79.7699966430664;124.9800033569336;257.6300048828125;118.69000244140625;157.1300048828125;101.83000183105469;62.0099983215332;80.94999694824219
2018-02-09;79.56999969482422;124.7699966430664;261.5;117.94000244140625;158.0500030517578;103.37999725341797;63.529998779296875;82.0999984741211
2018-02-12;79.58999633789062;125.37000274658203;265.3399963378906;118.45999908447266;160.2100067138672;104.69000244140625;64.66999816894531;82.87000274658203
2018-02-13;79.66000366210938;126.08000183105469;266.0;118.98999786376953;161.0;105.0;64.83000183105469;82.93000030517578
2018-02-14;79.4000015258789;128.22999572753906;269.5899963378906;117.66999816894531;163.5399932861328;106.31999969482422;66.0199966430664;83.87000274658203
2018-02-15;79.4800033569336;128.3800048828125;273.0299987792969;118.06999969482422;165.10000610351562;107.43000030517578;67.27999877929688;84.80000305175781
2018-02-16;79.6500015258789;127.95999908447266;273.1099853515625;118.70999908447266;164.33999633789062;107.55999755859375;67.18000030517578;85.41000366210938
2018-02-20;79.56999969482422;126.23999786376953;271.3999938964844;118.19000244140625;163.63999938964844;106.5999984741211;67.23999786376953;84.47000122070312
2018-02-21;79.2699966430664;125.66000366210938;270.04998779296875;116.73999786376953;163.47999572753906;105.91999816894531;66.80999755859375;84.12000274658203
2018-02-22;79.37000274658203;126.30000305175781;270.3999938964844;117.08999633789062;163.69000244140625;106.0;66.88999938964844;83.98999786376953
2018-02-23;79.58000183105469;126.13999938964844;274.7099914550781;118.12999725341797;165.85000610351562;107.62000274658203;68.29000091552734;85.33000183105469
2018-02-26;79.62000274658203;126.44999694824219;277.8999938964844;118.16999816894531;167.2100067138672;108.94000244140625;69.36000061035156;86.41000366210938
2018-02-27;79.44999694824219;125.12999725341797;274.42999267578125;118.0;163.75999450683594;107.73999786376953;68.66000366210938;85.51000213623047
2018-02-28;79.55000305175781;125.0;271.6499938964844;118.75;162.75999450683594;106.38999938964844;68.16999816894531;84.13999938964844
2018-03-01;79.5199966430664;124.72000122070312;267.70001220703125;119.31999969482422;161.11000061035156;104.97000122070312;67.04000091552734;82.80000305175781
2018-03-02;79.37000274658203;125.38999938964844;269.0799865722656;118.3499984741211;161.42999267578125;105.44999694824219;67.68000030517578;83.63999938964844
2018-03-05;79.31999969482422;125.18000030517578;272.19000244140625;118.02999877929688;163.11000061035156;106.66999816894531;68.37000274658203;84.4000015258789
2018-03-06;79.3499984741211;126.52999877929688;272.8800048828125;118.13999938964844;164.44000244140625;106.80999755859375;68.5199966430664;84.27999877929688
2018-03-07;79.33000183105469;125.72000122070312;272.7799987792969;118.01000213623047;163.4600067138672;106.63999938964844;68.9000015258789;84.70999908447266
2018-03-08;79.41999816894531;125.41999816894531;274.1000061035156;118.69000244140625;163.9499969482422;106.94999694824219;69.19999694824219;85.27999877929688
2018-03-09;79.31999969482422;125.54000091552734;278.8699951171875;117.91000366210938;166.35000610351562;108.76000213623047;70.51000213623047;86.51000213623047
2018-03-12;79.4000015258789;125.54000091552734;278.5199890136719;118.58999633789062;166.82000732421875;108.41000366210938;70.7300033569336;86.13999938964844
2018-03-13;79.41999816894531;125.77999877929688;276.7200012207031;119.19000244140625;165.75;107.73999786376953;69.91999816894531;86.25
2018-03-14;79.58999633789062;125.69999694824219;275.29998779296875;120.23999786376953;165.22000122070312;106.9800033569336;69.86000061035156;85.83000183105469
2018-03-15;79.5999984741211;124.9000015258789;275.0;120.23999786376953;165.02999877929688;106.95999908447266;69.9000015258789;85.69000244140625
2018-03-16;79.52999877929688;124.5999984741211;274.20001220703125;119.80999755859375;164.57000732421875;107.22000122070312;69.61000061035156;85.38999938964844
2018-03-19;79.47000122070312;124.87000274658203;270.489990234375;119.43000030517578;162.58999633789062;106.0;68.2300033569336;84.01000213623047
2018-03-20;79.37000274658203;124.30999755859375;270.95001220703125;118.94999694824219;163.3699951171875;105.94999694824219;68.19999694824219;84.12999725341797
2018-03-21;79.37000274658203;126.4800033569336;270.42999267578125;119.08000183105469;163.3800048828125;105.88999938964844;67.79000091552734;83.7699966430664
2018-03-22;79.5;125.9800033569336;263.6700134277344;120.26000213623047;159.80999755859375;102.66999816894531;66.04000091552734;81.36000061035156
2018-03-23;79.5199966430664;127.61000061035156;258.04998779296875;120.16999816894531;156.92999267578125;100.47000122070312;64.27999877929688;79.66999816894531
2018-03-26;79.47000122070312;128.27999877929688;265.1099853515625;119.70999908447266;161.25;103.23999786376953;66.72000122070312;81.31999969482422
2018-03-27;79.73999786376953;127.48999786376953;260.6000061035156;120.98999786376953;158.17999267578125;101.94000244140625;64.58000183105469;80.36000061035156
2018-03-28;79.7300033569336;125.7300033569336;259.8299865722656;121.30999755859375;156.32000732421875;101.94000244140625;64.1500015258789;80.79000091552734
2018-03-29;79.93000030517578;125.79000091552734;263.1499938964844;121.9000015258789;158.6199951171875;103.18000030517578;65.41999816894531;81.4000015258789
2018-04-02;79.72000122070312;127.26000213623047;257.4700012207031;121.87999725341797;154.0500030517578;100.91000366210938;63.86000061035156;79.55000305175781
2018-04-03;79.62999725341797;126.30000305175781;260.7699890136719;120.94000244140625;156.08999633789062;102.31999969482422;64.48999786376953;80.76000213623047
2018-04-04;79.62999725341797;126.44999694824219;263.55999755859375;120.69000244140625;159.08999633789062;103.51000213623047;65.38999938964844;81.91000366210938
2018-04-05;79.5199966430664;125.80000305175781;265.6400146484375;119.79000091552734;161.3300018310547;104.20999908447266;65.66000366210938;81.8499984741211
2018-04-06;79.72000122070312;126.38999938964844;259.7200012207031;121.0999984741211;157.97999572753906;102.05000305175781;64.05000305175781;79.87999725341797
2018-04-09;79.80000305175781;126.81999969482422;261.0;121.30000305175781;157.6199951171875;102.43000030517578;64.55000305175781;80.66999816894531
2018-04-10;79.66000366210938;127.12000274658203;265.1499938964844;121.08000183105469;159.58999633789062;104.02999877929688;66.13999938964844;82.02999877929688
2018-04-11;79.72000122070312;128.11000061035156;263.760009765625;121.51000213623047;158.99000549316406;103.36000061035156;65.75;81.36000061035156
2018-04-12;79.56999969482422;126.62000274658203;265.92999267578125;120.62000274658203;159.5;104.33000183105469;66.54000091552734;81.91000366210938
2018-04-13;79.62999725341797;127.44999694824219;265.1499938964844;120.9000015258789;158.7100067138672;103.95999908447266;66.31999969482422;81.87000274658203
2018-04-16;79.63999938964844;127.62999725341797;267.3299865722656;120.94000244140625;159.97999572753906;104.87999725341797;66.83000183105469;82.5199966430664
2018-04-17;79.66999816894531;127.75;270.19000244140625;121.2699966430664;162.5800018310547;105.54000091552734;68.06999969482422;83.16000366210938
2018-04-18;79.41000366210938;127.8499984741211;270.3900146484375;120.30000305175781;163.42999267578125;105.51000213623047;67.88999938964844;83.2300033569336
2018-04-19;79.22000122070312;127.5999984741211;268.8900146484375;119.31999969482422;162.6699981689453;105.33000183105469;67.13999938964844;82.52999877929688
2018-04-20;79.0199966430664;126.62999725341797;266.6099853515625;118.45999908447266;160.91000366210938;104.7300033569336;66.20999908447266;82.08999633789062
2018-04-23;78.9800033569336;125.62000274658203;266.57000732421875;118.48999786376953;161.27999877929688;104.86000061035156;65.97000122070312;82.41000366210938
2018-04-24;78.83999633789062;126.2300033569336;262.9800109863281;117.94999694824219;158.9600067138672;103.9800033569336;64.81999969482422;81.79000091552734
2018-04-25;78.7300033569336;125.41000366210938;263.6300048828125;117.16000366210938;159.5500030517578;104.08999633789062;64.83000183105469;82.16000366210938
2018-04-26;78.88999938964844;124.97000122070312;266.30999755859375;117.9800033569336;161.9499969482422;104.5999984741211;66.01000213623047;83.19999694824219
2018-04-27;79.01000213623047;125.5;266.55999755859375;118.88999938964844;162.38999938964844;104.75;65.88999938964844;83.54000091552734
2018-04-30;79.05000305175781;124.58999633789062;264.510009765625;119.0999984741211;161.67999267578125;103.61000061035156;65.45999908447266;82.26000213623047
2018-05-01;78.75;123.70999908447266;264.9800109863281;118.41000366210938;161.8800048828125;103.41999816894531;66.27999877929688;82.22000122070312
2018-05-02;78.76000213623047;123.6500015258789;263.20001220703125;118.27999877929688;160.9499969482422;102.37999725341797;66.20999908447266;81.08999633789062
2018-05-03;78.83000183105469;124.27999877929688;262.6199951171875;118.80999755859375;160.33999633789062;101.98999786376953;66.36000061035156;80.36000061035156
2018-05-04;78.87999725341797;124.54000091552734;266.0199890136719;118.98999786376953;162.3699951171875;103.08999633789062;67.62000274658203;81.0
2018-05-07;78.83999633789062;124.56999969482422;266.9200134277344;118.80000305175781;163.05999755859375;103.29000091552734;68.08999633789062;80.87999725341797
2018-05-08;78.77999877929688;124.58999633789062;266.9200134277344;118.69000244140625;162.3699951171875;103.26000213623047;68.23999786376953;80.2699966430664
2018-05-09;78.69000244140625;124.33000183105469;269.5;117.9800033569336;162.86000061035156;104.13999938964844;69.08000183105469;80.7300033569336
2018-05-10;78.8499984741211;125.18000030517578;272.0199890136719;118.93000030517578;163.3699951171875;105.12000274658203;69.9800033569336;81.80999755859375
2018-05-11;78.93000030517578;125.0;272.8500061035156;119.2300033569336;163.77000427246094;105.44999694824219;69.87999725341797;83.02999877929688
2018-05-14;78.83000183105469;124.48999786376953;272.9800109863281;118.5999984741211;163.8800048828125;105.63999938964844;69.87000274658203;83.58000183105469
2018-05-15;78.45999908447266;122.4800033569336;271.1000061035156;117.25;163.05999755859375;105.1500015258789;69.20999908447266;82.5
2018-05-16;78.4000015258789;122.29000091552734;272.239990234375;116.80000305175781;164.5800018310547;105.56999969482422;69.5199966430664;82.95999908447266
2018-05-17;78.33000183105469;122.36000061035156;272.010009765625;116.20999908447266;164.17999267578125;105.52999877929688;69.16000366210938;82.98999786376953
2018-05-18;78.54000091552734;122.41000366210938;271.3299865722656;117.20999908447266;164.0399932861328;105.12000274658203;68.87000274658203;83.19999694824219
2018-05-21;78.54000091552734;122.4800033569336;273.3699951171875;117.2699966430664;164.89999389648438;105.98999786376953;69.47000122070312;83.27999877929688
2018-05-22;78.55999755859375;122.41000366210938;272.6099853515625;117.08999633789062;163.83999633789062;105.86000061035156;69.37000274658203;83.12000274658203
2018-05-23;78.80000305175781;122.54000091552734;273.3599853515625;117.94000244140625;164.99000549316406;105.81999969482422;69.87999725341797;83.38999938964844
2018-05-24;78.95999908447266;123.58999633789062;272.79998779296875;118.87999725341797;165.35000610351562;105.5199966430664;69.80000305175781;83.05999755859375
2018-05-25;79.12999725341797;123.20999908447266;272.1499938964844;119.62000274658203;165.6199951171875;105.16000366210938;69.75;82.94000244140625
2018-05-29;79.68000030517578;123.19000244140625;269.0199890136719;122.23999786376953;164.60000610351562;103.66999816894531;69.37000274658203;82.08999633789062
2018-05-30;79.44000244140625;123.37000274658203;272.6099853515625;121.41999816894531;166.1699981689453;105.16000366210938;69.87999725341797;83.31999969482422
2018-05-31;79.41000366210938;123.0999984741211;270.94000244140625;121.22000122070312;165.22999572753906;104.23999786376953;69.9000015258789;82.41000366210938
2018-06-01;79.08999633789062;122.48999786376953;273.6000061035156;120.30000305175781;166.55999755859375;105.2300033569336;71.08999633789062;83.36000061035156
2018-06-04;78.91999816894531;122.37000274658203;274.8999938964844;119.43000030517578;168.5500030517578;105.5199966430664;71.66000366210938;83.66999816894531
2018-06-05;78.98999786376953;122.8499984741211;275.1000061035156;119.70999908447266;169.55999755859375;105.51000213623047;71.91000366210938;83.5
2018-06-06;78.7699966430664;122.91999816894531;277.3999938964844;118.73999786376953;171.47000122070312;106.45999908447266;72.37999725341797;84.44000244140625
